Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
22-Apr-2020,9026.75,9209.75,8946.25,9187.3,734383388,33981.82
23-Apr-2020,9232.35,9343.6,9170.15,9313.9,666650462,30270.55
24-Apr-2020,9163.9,9296.9,9141.3,9154.4,659439249,32859.05
27-Apr-2020,9259.7,9377.1,9250.35,9282.3,512793298,26696.54
28-Apr-2020,9389.8,9404.4,9260,9380.9,614548983,30091.41
29-Apr-2020,9408.6,9599.85,9392.35,9553.35,653026950,31673.23
30-Apr-2020,9753.5,9889.05,9731.5,9859.9,931173802,39332.46
04-May-2020,9533.5,9533.5,9266.95,9293.5,687487134,29785.95
05-May-2020,9429.4,9450.9,9190.75,9205.6,725196178,29700.2
06-May-2020,9226.8,9346.9,9116.5,9270.9,722185448,30798.1
07-May-2020,9234.05,9277.85,9175.9,9199.05,708740416,59705.53
08-May-2020,9376.95,9382.65,9238.2,9251.5,609053504,30743.45
11-May-2020,9348.15,9439.9,9219.95,9239.2,704647074,31048.47
12-May-2020,9168.85,9240.85,9043.95,9196.55,805458787,37706.27
13-May-2020,9584.2,9584.5,9351.1,9383.55,846395245,36488.9
14-May-2020,9213.95,9281.1,9119.75,9142.75,602555564,29541.59
15-May-2020,9182.4,9182.4,9050,9136.85,575857112,25847.33
18-May-2020,9158.3,9158.3,8806.75,8823.25,772983297,33347.46
19-May-2020,8961.7,9030.35,8855.3,8879.1,762152894,32026.94
20-May-2020,8889.15,9093.8,8875.35,9066.55,622308140,30721.99
21-May-2020,9079.45,9178.55,9056.1,9106.25,631542699,28303.51
22-May-2020,9067.9,9149.6,8968.55,9039.25,675759336,31625.47
26-May-2020,9099.75,9161.65,8996.65,9029.05,654959960,30871.59
27-May-2020,9082.2,9334,9004.25,9314.95,763492487,34603.88
28-May-2020,9364.95,9511.25,9336.5,9490.1,837911425,37761.91
29-May-2020,9422.2,9598.85,9376.9,9580.3,967005438,45006.25
01-Jun-2020,9726.85,9931.6,9706.95,9826.15,794183122,38096.92
02-Jun-2020,9880.85,9995.6,9824.05,9979.1,770192848,36723.11
03-Jun-2020,10108.3,10176.2,10035.55,10061.55,794664422,38343.61
04-Jun-2020,10054.25,10123.85,9944.25,10029.1,775106567,36399.04
05-Jun-2020,10093.8,10177.8,10040.75,10142.15,987122302,37824.63
08-Jun-2020,10326.75,10328.5,10120.25,10167.45,936485541,37819.06
09-Jun-2020,10181.15,10291.15,10021.45,10046.65,754217460,36201.05
10-Jun-2020,10072.6,10148.75,10036.85,10116.15,632383068,28485.47
11-Jun-2020,10094.1,10112.05,9885.05,9902,715453486,30813.85
12-Jun-2020,9544.95,9996.05,9544.35,9972.9,796306399,36505.77
15-Jun-2020,9919.35,9943.35,9726.35,9813.7,716053036,31926.65
16-Jun-2020,10014.8,10046.15,9728.5,9914,899895044,36257.89
17-Jun-2020,9876.7,10003.6,9833.8,9881.15,685418390,30700.69
18-Jun-2020,9863.25,10111.2,9845.05,10091.65,622895963,28594.32
19-Jun-2020,10119,10272.4,10072.65,10244.4,892096343,48103.56
22-Jun-2020,10318.75,10393.65,10277.6,10311.2,685385093,35529.8
23-Jun-2020,10347.95,10484.7,10301.75,10471,669195109,34148.13
24-Jun-2020,10529.25,10553.15,10281.95,10305.3,854799801,41394.45
25-Jun-2020,10235.55,10361.8,10194.5,10288.9,994190886,41726.07
26-Jun-2020,10378.9,10409.85,10311.25,10383,671910159,31841.68
29-Jun-2020,10311.95,10337.95,10223.6,10312.4,574544482,27019.46
30-Jun-2020,10382.6,10401.05,10267.35,10302.1,556238560,27342.55
01-Jul-2020,10323.8,10447.05,10299.6,10430.05,573550127,28736.28
02-Jul-2020,10493.05,10598.2,10485.55,10551.7,597423931,31235.17
03-Jul-2020,10614.95,10631.3,10562.65,10607.35,525190704,25186.39
