,sub_region_1,Date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
5223,Karnataka,2020-05-12,-63.064516129032256,10.633333333333333,-41.774193548387096,-35.0,-28.419354838709676,20.64516129032258
5224,Karnataka,2020-05-13,-62.645161290322584,14.166666666666666,-42.064516129032256,-34.0,-26.612903225806452,19.741935483870968
5225,Karnataka,2020-05-14,-61.96774193548387,17.774193548387096,-42.12903225806452,-35.806451612903224,-26.096774193548388,20.548387096774192
5226,Karnataka,2020-05-15,-61.41935483870968,20.451612903225808,-43.70967741935484,-35.0,-24.06451612903226,20.193548387096776
5227,Karnataka,2020-05-16,-62.483870967741936,18.870967741935484,-49.935483870967744,-36.70967741935484,-20.06451612903226,18.967741935483872
5228,Karnataka,2020-05-17,-64.06451612903226,17.129032258064516,-51.354838709677416,-37.096774193548384,-5.451612903225806,15.741935483870968
5229,Karnataka,2020-05-18,-60.516129032258064,20.677419354838708,-43.03225806451613,-35.29032258064516,-23.35483870967742,19.419354838709676
5230,Karnataka,2020-05-19,-59.32258064516129,16.5,-42.774193548387096,-31.387096774193548,-23.096774193548388,18.64516129032258
5231,Karnataka,2020-05-20,-56.645161290322584,25.387096774193548,-42.29032258064516,-27.70967741935484,-21.70967741935484,17.806451612903224
5232,Karnataka,2020-05-21,-57.354838709677416,24.161290322580644,-43.645161290322584,-30.322580645161292,-21.258064516129032,18.903225806451612
5233,Karnataka,2020-05-22,-57.96774193548387,22.838709677419356,-44.903225806451616,-31.677419354838708,-19.129032258064516,19.35483870967742
5234,Karnataka,2020-05-23,-56.483870967741936,31.548387096774192,-49.774193548387096,-29.225806451612904,-23.129032258064516,17.032258064516128
5235,Karnataka,2020-05-24,-80.16129032258064,-37.903225806451616,-55.483870967741936,-59.38709677419355,-25.774193548387096,23.774193548387096
5236,Karnataka,2020-05-25,-59.29032258064516,16.35483870967742,-42.38709677419355,-33.516129032258064,-37.67741935483871,20.612903225806452
5237,Karnataka,2020-05-26,-55.645161290322584,25.387096774193548,-42.96774193548387,-27.387096774193548,-20.451612903225808,16.193548387096776
5238,Karnataka,2020-05-27,-54.45161290322581,27.29032258064516,-42.70967741935484,-25.06451612903226,-19.06451612903226,15.903225806451612
5239,Karnataka,2020-05-28,-54.16129032258065,28.516129032258064,-43.193548387096776,-26.677419354838708,-17.93548387096774,16.677419354838708
5240,Karnataka,2020-05-29,-54.32258064516129,28.35483870967742,-45.03225806451613,-27.419354838709676,-16.419354838709676,16.580645161290324
5241,Karnataka,2020-05-30,-54.483870967741936,31.548387096774192,-49.903225806451616,-26.741935483870968,-9.741935483870968,14.548387096774194
5242,Karnataka,2020-05-31,-62.096774193548384,12.64516129032258,-52.29032258064516,-36.54838709677419,1.0,14.903225806451612
5243,Karnataka,2020-06-01,-50.806451612903224,35.03225806451613,-44.74193548387097,-23.903225806451612,-14.258064516129032,15.225806451612904
5244,Karnataka,2020-06-02,-50.45161290322581,34.58064516129032,-44.354838709677416,-22.967741935483872,-14.451612903225806,14.838709677419354
5245,Karnataka,2020-06-03,-49.83870967741935,34.8,-44.774193548387096,-21.0,-13.935483870967742,14.806451612903226
5246,Karnataka,2020-06-04,-49.483870967741936,38.25806451612903,-44.38709677419355,-22.161290322580644,-13.258064516129032,15.03225806451613
5247,Karnataka,2020-06-05,-48.61290322580645,37.25806451612903,-44.58064516129032,-23.93548387096774,-11.387096774193548,15.161290322580646
5248,Karnataka,2020-06-06,-49.25806451612903,37.12903225806452,-49.54838709677419,-24.0,-7.193548387096774,13.838709677419354
5249,Karnataka,2020-06-07,-51.32258064516129,31.2,-49.61290322580645,-24.516129032258064,4.483870967741935,11.290322580645162
5250,Karnataka,2020-06-08,-43.096774193548384,44.38709677419355,-42.903225806451616,-19.0,-10.064516129032258,13.258064516129032
5251,Karnataka,2020-06-09,-43.354838709677416,40.25806451612903,-42.45161290322581,-18.903225806451612,-11.129032258064516,13.193548387096774
5252,Karnataka,2020-06-10,-42.16129032258065,42.45161290322581,-42.16129032258065,-15.67741935483871,-11.483870967741936,12.516129032258064
5253,Karnataka,2020-06-11,-42.16129032258065,39.67741935483871,-42.74193548387097,-19.096774193548388,-12.548387096774194,14.064516129032258
5254,Karnataka,2020-06-12,-40.193548387096776,45.354838709677416,-42.58064516129032,-16.64516129032258,-10.96774193548387,13.0
5255,Karnataka,2020-06-13,-41.483870967741936,44.806451612903224,-47.193548387096776,-19.06451612903226,-14.483870967741936,13.129032258064516
5256,Karnataka,2020-06-14,-44.41935483870968,38.2,-46.806451612903224,-18.096774193548388,5.096774193548387,9.483870967741936
5257,Karnataka,2020-06-15,-38.96774193548387,44.70967741935484,-40.483870967741936,-15.903225806451612,-13.161290322580646,11.741935483870968
5258,Karnataka,2020-06-16,-40.96774193548387,39.29032258064516,-41.87096774193548,-17.548387096774192,-12.548387096774194,12.67741935483871
5259,Karnataka,2020-06-17,-40.935483870967744,40.516129032258064,-42.74193548387097,-16.096774193548388,-12.870967741935484,13.064516129032258
5260,Karnataka,2020-06-18,-39.903225806451616,39.774193548387096,-41.935483870967744,-17.806451612903224,-12.806451612903226,13.096774193548388
5261,Karnataka,2020-06-19,-40.29032258064516,40.774193548387096,-43.225806451612904,-19.193548387096776,-11.0,13.161290322580646
5262,Karnataka,2020-06-20,-41.61290322580645,40.87096774193548,-47.25806451612903,-20.06451612903226,-5.354838709677419,11.741935483870968
5263,Karnataka,2020-06-21,-56.483870967741936,7.612903225806452,-53.54838709677419,-37.225806451612904,2.2903225806451615,17.483870967741936
5264,Karnataka,2020-06-22,-39.225806451612904,41.87096774193548,-42.774193548387096,-18.741935483870968,-11.161290322580646,13.35483870967742
5265,Karnataka,2020-06-23,-38.935483870967744,42.645161290322584,-41.516129032258064,-17.483870967741936,-12.709677419354838,12.64516129032258
5266,Karnataka,2020-06-24,-39.74193548387097,42.74193548387097,-42.54838709677419,-16.096774193548388,-12.225806451612904,12.258064516129032
5267,Karnataka,2020-06-25,-42.354838709677416,36.61290322580645,-43.58064516129032,-20.516129032258064,-13.35483870967742,14.03225806451613
5268,Karnataka,2020-06-26,-41.83870967741935,38.70967741935484,-43.38709677419355,-20.870967741935484,-11.96774193548387,13.548387096774194
5269,Karnataka,2020-06-27,-44.064516129032256,36.193548387096776,-48.12903225806452,-23.774193548387096,-14.709677419354838,13.548387096774194
5270,Karnataka,2020-06-28,-48.87096774193548,25.225806451612904,-49.45161290322581,-26.93548387096774,1.8387096774193548,11.580645161290322
5271,Karnataka,2020-06-29,-44.12903225806452,32.54838709677419,-43.38709677419355,-23.516129032258064,-14.225806451612904,14.096774193548388
5272,Karnataka,2020-06-30,-41.54838709677419,36.83870967741935,-42.25806451612903,-22.967741935483872,-13.35483870967742,14.096774193548388
5273,Karnataka,2020-07-01,-42.70967741935484,35.87096774193548,-43.225806451612904,-22.612903225806452,-13.096774193548388,14.290322580645162
5274,Karnataka,2020-07-02,-45.0,29.870967741935484,-44.0,-26.612903225806452,-14.387096774193548,16.032258064516128
5275,Karnataka,2020-07-03,-43.70967741935484,34.29032258064516,-44.774193548387096,-24.64516129032258,-12.741935483870968,15.612903225806452
5276,Karnataka,2020-07-04,-45.806451612903224,34.41935483870968,-50.064516129032256,-26.903225806451612,-9.225806451612904,14.838709677419354
5277,Karnataka,2020-07-05,-78.25806451612904,-38.096774193548384,-57.32258064516129,-60.935483870967744,-22.516129032258064,23.451612903225808
5278,Karnataka,2020-07-06,-42.83870967741935,38.70967741935484,-43.225806451612904,-25.35483870967742,-13.32258064516129,15.935483870967742
5279,Karnataka,2020-07-07,-46.193548387096776,29.580645161290324,-43.0,-27.580645161290324,-15.483870967741936,16.741935483870968
5280,Karnataka,2020-07-08,-47.83870967741935,24.64516129032258,-44.064516129032256,-28.580645161290324,-15.32258064516129,16.741935483870968
5281,Karnataka,2020-07-09,-48.354838709677416,24.741935483870968,-44.0,-30.806451612903224,-15.903225806451612,18.06451612903226
5282,Karnataka,2020-07-10,-45.74193548387097,33.25806451612903,-44.38709677419355,-27.741935483870968,-14.064516129032258,16.838709677419356
5283,Karnataka,2020-07-11,-48.87096774193548,29.64516129032258,-48.806451612903224,-32.645161290322584,-19.387096774193548,16.967741935483872
5284,Karnataka,2020-07-12,-76.54838709677419,-33.354838709677416,-56.03225806451613,-58.87096774193548,-22.516129032258064,22.06451612903226
5285,Karnataka,2020-07-13,-39.903225806451616,48.54838709677419,-42.41935483870968,-22.258064516129032,-15.161290322580646,14.96774193548387
5286,Karnataka,2020-07-14,-44.67741935483871,34.516129032258064,-41.67741935483871,-25.483870967741936,-17.64516129032258,15.870967741935484
5287,Karnataka,2020-07-15,-53.0,15.96774193548387,-43.96774193548387,-32.064516129032256,-21.35483870967742,20.161290322580644
5288,Karnataka,2020-07-16,-57.225806451612904,8.451612903225806,-45.32258064516129,-38.03225806451613,-23.903225806451612,22.548387096774192
5289,Karnataka,2020-07-17,-55.29032258064516,15.774193548387096,-46.0,-35.67741935483871,-22.29032258064516,21.451612903225808
5290,Karnataka,2020-07-18,-58.096774193548384,11.516129032258064,-51.516129032258064,-40.0,-25.580645161290324,21.612903225806452
5291,Karnataka,2020-07-19,-76.16129032258064,-33.064516129032256,-55.70967741935484,-57.45161290322581,-21.903225806451612,22.29032258064516
5292,Karnataka,2020-07-20,-54.45161290322581,17.258064516129032,-44.03225806451613,-35.45161290322581,-22.870967741935484,21.741935483870968
5293,Karnataka,2020-07-21,-52.70967741935484,19.483870967741936,-42.67741935483871,-32.645161290322584,-22.64516129032258,19.548387096774192
5294,Karnataka,2020-07-22,-45.516129032258064,32.25806451612903,-41.74193548387097,-25.806451612903224,-18.451612903225808,17.225806451612904
5295,Karnataka,2020-07-23,-45.41935483870968,30.483870967741936,-42.096774193548384,-26.35483870967742,-17.548387096774192,17.903225806451612
5296,Karnataka,2020-07-24,-45.74193548387097,29.387096774193548,-42.064516129032256,-25.870967741935484,-16.129032258064516,17.64516129032258
5297,Karnataka,2020-07-25,-47.935483870967744,26.225806451612904,-46.70967741935484,-29.483870967741936,-21.483870967741936,17.93548387096774
5298,Karnataka,2020-07-26,-74.29032258064517,-30.096774193548388,-53.16129032258065,-54.645161290322584,-21.741935483870968,20.70967741935484
5299,Karnataka,2020-07-27,-40.41935483870968,39.516129032258064,-40.74193548387097,-20.29032258064516,-15.96774193548387,15.806451612903226
5300,Karnataka,2020-07-28,-42.064516129032256,33.16129032258065,-41.064516129032256,-22.0,-16.967741935483872,16.548387096774192
5301,Karnataka,2020-07-29,-41.83870967741935,36.61290322580645,-40.96774193548387,-19.93548387096774,-17.193548387096776,16.032258064516128
5302,Karnataka,2020-07-30,-38.45161290322581,48.61290322580645,-40.25806451612903,-17.774193548387096,-17.35483870967742,15.774193548387096
5303,Karnataka,2020-07-31,-44.935483870967744,30.612903225806452,-41.29032258064516,-25.193548387096776,-19.838709677419356,17.516129032258064
5304,Karnataka,2020-08-01,-47.74193548387097,23.258064516129032,-45.064516129032256,-28.70967741935484,-27.129032258064516,17.838709677419356
5305,Karnataka,2020-08-02,-51.87096774193548,15.225806451612904,-47.61290322580645,-32.29032258064516,-4.548387096774194,14.903225806451612
5306,Karnataka,2020-08-03,-41.58064516129032,34.903225806451616,-39.096774193548384,-21.870967741935484,-18.0,15.580645161290322
5307,Karnataka,2020-08-04,-43.87096774193548,25.129032258064516,-42.645161290322584,-24.612903225806452,-17.451612903225808,16.322580645161292
5308,Karnataka,2020-08-05,-45.12903225806452,8.64516129032258,-51.483870967741936,-29.612903225806452,-18.129032258064516,16.70967741935484
5309,Karnataka,2020-08-06,-40.516129032258064,19.387096774193548,-48.645161290322584,-25.516129032258064,-16.161290322580644,14.903225806451612
5310,Karnataka,2020-08-07,-40.38709677419355,18.677419354838708,-48.03225806451613,-25.161290322580644,-13.0,13.129032258064516
5311,Karnataka,2020-08-08,-42.354838709677416,16.193548387096776,-51.483870967741936,-28.516129032258064,-15.935483870967742,13.67741935483871
5312,Karnataka,2020-08-09,-47.32258064516129,6.419354838709677,-51.38709677419355,-30.225806451612904,3.5806451612903225,11.32258064516129
5313,Karnataka,2020-08-10,-37.83870967741935,22.0,-46.58064516129032,-22.612903225806452,-13.129032258064516,13.129032258064516
5314,Karnataka,2020-08-11,-37.483870967741936,19.93548387096774,-45.25806451612903,-21.64516129032258,-13.806451612903226,12.741935483870968
5315,Karnataka,2020-08-12,-34.61290322580645,25.741935483870968,-45.516129032258064,-18.419354838709676,-12.709677419354838,12.193548387096774
5316,Karnataka,2020-08-13,-36.774193548387096,22.70967741935484,-46.064516129032256,-20.612903225806452,-13.96774193548387,13.258064516129032
5317,Karnataka,2020-08-14,-34.25806451612903,27.516129032258064,-44.67741935483871,-18.129032258064516,-11.64516129032258,11.741935483870968
5318,Karnataka,2020-08-15,-39.354838709677416,15.161290322580646,-43.74193548387097,-23.451612903225808,-23.451612903225808,14.258064516129032
5319,Karnataka,2020-08-16,-47.61290322580645,1.4838709677419355,-50.193548387096776,-29.870967741935484,1.7096774193548387,12.838709677419354
5320,Karnataka,2020-08-17,-36.41379310344828,8.2,-45.407407407407405,-19.548387096774192,-12.35483870967742,12.64516129032258
5321,Karnataka,2020-08-18,-35.275862068965516,9.266666666666667,-44.0,-17.870967741935484,-11.0,11.258064516129032
5322,Karnataka,2020-08-19,-35.758620689655174,10.266666666666667,-44.392857142857146,-17.419354838709676,-10.935483870967742,12.03225806451613
5323,Karnataka,2020-08-20,-35.0,10.866666666666667,-45.464285714285715,-16.258064516129032,-11.741935483870968,12.290322580645162
5324,Karnataka,2020-08-21,-33.0,20.2,-44.642857142857146,-12.419354838709678,-13.709677419354838,12.0
5325,Karnataka,2020-08-22,-48.48275862068966,-11.235294117647058,-46.793103448275865,-27.35483870967742,-33.903225806451616,16.516129032258064
5326,Karnataka,2020-08-23,-42.758620689655174,-3.411764705882353,-43.666666666666664,-20.774193548387096,3.6774193548387095,8.774193548387096
5327,Karnataka,2020-08-24,-32.93103448275862,12.6875,-41.925925925925924,-14.903225806451612,-11.741935483870968,10.32258064516129
5328,Karnataka,2020-08-25,-33.37931034482759,11.0625,-42.03703703703704,-14.870967741935484,-11.451612903225806,10.64516129032258
5329,Karnataka,2020-08-26,-34.0,10.375,-42.32142857142857,-14.03225806451613,-10.96774193548387,10.612903225806452
5330,Karnataka,2020-08-27,-33.89655172413793,10.5,-42.07142857142857,-16.451612903225808,-10.870967741935484,11.096774193548388
5331,Karnataka,2020-08-28,-33.758620689655174,11.0,-42.074074074074076,-16.06451612903226,-10.03225806451613,10.709677419354838
5332,Karnataka,2020-08-29,-36.310344827586206,9.176470588235293,-44.6551724137931,-18.451612903225808,-5.225806451612903,9.903225806451612
