,sub_region_1,Date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
1959,Chhattisgarh,2020-03-19,-8.375,-0.8695652173913043,-0.20833333333333334,-3.56,-3.892857142857143,3.8333333333333335
1960,Chhattisgarh,2020-03-20,-10.083333333333334,-0.4782608695652174,-2.6666666666666665,-8.8,-10.821428571428571,6.125
1961,Chhattisgarh,2020-03-21,-21.666666666666668,-8.652173913043478,-9.875,-20.84,-12.107142857142858,8.708333333333334
1962,Chhattisgarh,2020-03-22,-65.41666666666667,-71.45,-39.23076923076923,-71.48,-34.18518518518518,24.5
1963,Chhattisgarh,2020-03-23,-43.833333333333336,-32.73913043478261,-18.12,-53.52,-27.321428571428573,16.416666666666668
1964,Chhattisgarh,2020-03-24,-52.375,-42.23809523809524,-22.625,-62.69230769230769,-36.75,19.565217391304348
1965,Chhattisgarh,2020-03-25,-60.583333333333336,-54.5,-32.041666666666664,-69.96153846153847,-45.214285714285715,24.904761904761905
1966,Chhattisgarh,2020-03-26,-61.416666666666664,-55.61904761904762,-30.48,-70.38461538461539,-46.142857142857146,26.0
1967,Chhattisgarh,2020-03-27,-61.458333333333336,-57.523809523809526,-31.708333333333332,-70.1923076923077,-45.25,26.636363636363637
1968,Chhattisgarh,2020-03-28,-62.52,-58.05,-33.708333333333336,-71.15384615384616,-42.92857142857143,26.61904761904762
1969,Chhattisgarh,2020-03-29,-62.208333333333336,-61.35,-36.96153846153846,-70.11111111111111,-26.444444444444443,22.85
1970,Chhattisgarh,2020-03-30,-60.541666666666664,-55.85,-28.72,-69.6923076923077,-42.07142857142857,26.40909090909091
1971,Chhattisgarh,2020-03-31,-59.041666666666664,-55.0,-28.958333333333332,-68.57692307692308,-40.17857142857143,24.5
1972,Chhattisgarh,2020-04-01,-60.666666666666664,-57.13636363636363,-31.958333333333332,-69.61538461538461,-41.92857142857143,25.40909090909091
1973,Chhattisgarh,2020-04-02,-59.416666666666664,-55.40909090909091,-31.125,-69.0,-43.57142857142857,25.545454545454547
1974,Chhattisgarh,2020-04-03,-57.166666666666664,-52.5,-28.541666666666668,-67.46153846153847,-36.714285714285715,23.772727272727273
1975,Chhattisgarh,2020-04-04,-59.0,-53.61904761904762,-30.333333333333332,-68.1923076923077,-33.82142857142857,23.636363636363637
1976,Chhattisgarh,2020-04-05,-58.458333333333336,-56.61904761904762,-33.6,-68.0,-19.62962962962963,20.09090909090909
1977,Chhattisgarh,2020-04-06,-59.166666666666664,-52.0,-27.0,-69.5,-42.642857142857146,26.09090909090909
1978,Chhattisgarh,2020-04-07,-61.5,-33.5,-26.44,-62.80769230769231,-37.5,22.454545454545453
1979,Chhattisgarh,2020-04-08,-63.25,-37.04347826086956,-30.32,-64.1923076923077,-38.42857142857143,22.954545454545453
1980,Chhattisgarh,2020-04-09,-62.75,-35.65217391304348,-29.08,-63.57692307692308,-39.107142857142854,23.545454545454547
1981,Chhattisgarh,2020-04-10,-63.833333333333336,-36.04347826086956,-29.458333333333332,-64.03846153846153,-41.82142857142857,25.454545454545453
1982,Chhattisgarh,2020-04-11,-64.45833333333333,-37.30434782608695,-30.458333333333332,-66.16,-37.964285714285715,25.454545454545453
1983,Chhattisgarh,2020-04-12,-64.75,-40.77272727272727,-35.56,-65.92307692307692,-21.88888888888889,22.238095238095237
1984,Chhattisgarh,2020-04-13,-63.5,-35.391304347826086,-29.96,-65.28,-37.535714285714285,26.045454545454547
1985,Chhattisgarh,2020-04-14,-62.083333333333336,-35.65217391304348,-27.32,-64.61538461538461,-41.42857142857143,24.90909090909091
1986,Chhattisgarh,2020-04-15,-63.208333333333336,-30.73913043478261,-28.96,-62.23076923076923,-34.25,23.347826086956523
1987,Chhattisgarh,2020-04-16,-77.91666666666667,-17.869565217391305,-42.21739130434783,-62.26923076923077,-36.892857142857146,23.434782608695652
1988,Chhattisgarh,2020-04-17,-79.33333333333333,-22.347826086956523,-42.82608695652174,-62.69230769230769,-35.464285714285715,25.08695652173913
1989,Chhattisgarh,2020-04-18,-79.92,-25.17391304347826,-44.69565217391305,-66.08,-35.142857142857146,24.954545454545453
1990,Chhattisgarh,2020-04-19,-79.625,-29.434782608695652,-46.91304347826087,-64.11538461538461,-21.666666666666668,22.0
1991,Chhattisgarh,2020-04-20,-78.45833333333333,-17.73913043478261,-41.47826086956522,-62.72,-33.857142857142854,23.82608695652174
1992,Chhattisgarh,2020-04-21,-76.08333333333333,-14.863636363636363,-38.91304347826087,-60.72,-30.857142857142858,20.041666666666668
1993,Chhattisgarh,2020-04-22,-76.125,-13.478260869565217,-40.91304347826087,-58.76923076923077,-30.25,19.541666666666668
1994,Chhattisgarh,2020-04-23,-75.70833333333333,-12.217391304347826,-41.04347826086956,-60.36,-30.071428571428573,20.625
1995,Chhattisgarh,2020-04-24,-75.08333333333333,-12.045454545454545,-40.65217391304348,-58.08,-27.571428571428573,20.583333333333332
1996,Chhattisgarh,2020-04-25,-75.88,-11.347826086956522,-43.78260869565217,-59.4,-26.214285714285715,20.608695652173914
1997,Chhattisgarh,2020-04-26,-76.875,-19.17391304347826,-46.21739130434783,-60.69230769230769,-15.25925925925926,18.5
1998,Chhattisgarh,2020-04-27,-75.08333333333333,-6.391304347826087,-41.0,-57.84,-27.071428571428573,20.041666666666668
1999,Chhattisgarh,2020-04-28,-73.16666666666667,-7.090909090909091,-38.21739130434783,-55.8,-24.571428571428573,18.458333333333332
2000,Chhattisgarh,2020-04-29,-74.66666666666667,-7.0,-39.608695652173914,-57.24,-24.892857142857142,18.833333333333332
2001,Chhattisgarh,2020-04-30,-74.33333333333333,-3.260869565217391,-40.875,-57.08,-25.428571428571427,18.916666666666668
2002,Chhattisgarh,2020-05-01,-74.45833333333333,-7.909090909090909,-39.65217391304348,-55.8,-25.607142857142858,19.5
2003,Chhattisgarh,2020-05-02,-76.04,-11.826086956521738,-43.04347826086956,-58.5,-22.428571428571427,19.833333333333332
2004,Chhattisgarh,2020-05-03,-75.95833333333333,-14.91304347826087,-44.608695652173914,-58.73076923076923,-13.444444444444445,17.61904761904762
2005,Chhattisgarh,2020-05-04,-71.0,5.090909090909091,-35.82608695652174,-52.12,-20.785714285714285,16.125
2006,Chhattisgarh,2020-05-05,-70.20833333333333,4.285714285714286,-35.52173913043478,-50.8,-20.214285714285715,14.833333333333334
2007,Chhattisgarh,2020-05-06,-68.58333333333333,10.521739130434783,-36.43478260869565,-48.32,-19.321428571428573,14.625
2008,Chhattisgarh,2020-05-07,-68.20833333333333,12.478260869565217,-37.21739130434783,-47.84,-27.964285714285715,15.583333333333334
2009,Chhattisgarh,2020-05-08,-66.45833333333333,15.136363636363637,-37.47826086956522,-43.68,-16.607142857142858,14.041666666666666
2010,Chhattisgarh,2020-05-09,-80.32,-28.954545454545453,-43.47826086956522,-69.32,-36.25,22.863636363636363
2011,Chhattisgarh,2020-05-10,-79.375,-29.181818181818183,-44.65217391304348,-67.11538461538461,-20.444444444444443,19.238095238095237
2012,Chhattisgarh,2020-05-11,-64.41666666666667,26.391304347826086,-36.291666666666664,-40.12,-16.0,13.291666666666666
2013,Chhattisgarh,2020-05-12,-65.125,19.272727272727273,-36.458333333333336,-42.16,-15.428571428571429,13.333333333333334
2014,Chhattisgarh,2020-05-13,-65.375,17.217391304347824,-35.21739130434783,-43.16,-14.821428571428571,12.583333333333334
2015,Chhattisgarh,2020-05-14,-64.41666666666667,18.26086956521739,-37.21739130434783,-44.76,-15.964285714285714,13.25
2016,Chhattisgarh,2020-05-15,-62.875,23.666666666666668,-35.21739130434783,-40.4,-13.178571428571429,11.916666666666666
2017,Chhattisgarh,2020-05-16,-75.84,-17.73913043478261,-40.04347826086956,-64.48,-29.928571428571427,18.40909090909091
2018,Chhattisgarh,2020-05-17,-76.08333333333333,-20.272727272727273,-43.65217391304348,-63.69230769230769,-18.074074074074073,16.952380952380953
2019,Chhattisgarh,2020-05-18,-60.666666666666664,32.78260869565217,-34.65217391304348,-36.96,-13.357142857142858,11.916666666666666
2020,Chhattisgarh,2020-05-19,-61.25,24.863636363636363,-33.56521739130435,-38.44,-12.107142857142858,11.208333333333334
2021,Chhattisgarh,2020-05-20,-60.916666666666664,25.434782608695652,-35.0,-41.12,-11.892857142857142,12.458333333333334
2022,Chhattisgarh,2020-05-21,-61.541666666666664,25.869565217391305,-35.69565217391305,-42.76,-12.642857142857142,12.916666666666666
2023,Chhattisgarh,2020-05-22,-61.083333333333336,25.5,-35.34782608695652,-38.8,-10.214285714285714,12.291666666666666
2024,Chhattisgarh,2020-05-23,-76.08,-18.136363636363637,-40.52173913043478,-64.8,-32.17857142857143,19.91304347826087
2025,Chhattisgarh,2020-05-24,-76.33333333333333,-21.59090909090909,-44.04347826086956,-63.73076923076923,-16.037037037037038,17.904761904761905
2026,Chhattisgarh,2020-05-25,-62.166666666666664,25.0,-35.65217391304348,-42.72,-26.142857142857142,15.916666666666666
2027,Chhattisgarh,2020-05-26,-62.166666666666664,20.545454545454547,-34.82608695652174,-42.4,-10.607142857142858,12.375
2028,Chhattisgarh,2020-05-27,-63.041666666666664,18.73913043478261,-35.52173913043478,-43.32,-11.607142857142858,13.583333333333334
2029,Chhattisgarh,2020-05-28,-62.625,18.227272727272727,-35.65217391304348,-44.04,-13.107142857142858,13.791666666666666
2030,Chhattisgarh,2020-05-29,-61.041666666666664,25.047619047619047,-35.43478260869565,-40.04,-9.285714285714286,12.5
2031,Chhattisgarh,2020-05-30,-66.92,8.391304347826088,-37.56521739130435,-52.04,-11.142857142857142,13.208333333333334
2032,Chhattisgarh,2020-05-31,-69.75,-6.521739130434782,-41.391304347826086,-52.30769230769231,-5.148148148148148,13.666666666666666
2033,Chhattisgarh,2020-06-01,-58.125,34.90909090909091,-33.08695652173913,-36.12,-9.107142857142858,11.166666666666666
2034,Chhattisgarh,2020-06-02,-59.916666666666664,23.761904761904763,-33.56521739130435,-40.96,-9.821428571428571,10.541666666666666
2035,Chhattisgarh,2020-06-03,-58.625,29.434782608695652,-34.43478260869565,-36.04,-8.821428571428571,10.458333333333334
2036,Chhattisgarh,2020-06-04,-59.916666666666664,27.47826086956522,-34.08695652173913,-38.32,-10.5,10.875
2037,Chhattisgarh,2020-06-05,-56.291666666666664,31.238095238095237,-32.125,-35.52,-13.928571428571429,10.875
2038,Chhattisgarh,2020-06-06,-61.44,15.318181818181818,-33.391304347826086,-44.08,-7.214285714285714,11.333333333333334
2039,Chhattisgarh,2020-06-07,-64.58333333333333,2.391304347826087,-38.0,-44.0,-2.962962962962963,11.772727272727273
2040,Chhattisgarh,2020-06-08,-56.208333333333336,35.22727272727273,-30.347826086956523,-34.4,-9.142857142857142,10.25
2041,Chhattisgarh,2020-06-09,-58.666666666666664,22.727272727272727,-31.391304347826086,-39.12,-11.071428571428571,10.041666666666666
2042,Chhattisgarh,2020-06-10,-56.0,30.82608695652174,-32.666666666666664,-34.24,-10.321428571428571,9.541666666666666
2043,Chhattisgarh,2020-06-11,-55.791666666666664,24.772727272727273,-35.125,-36.16,-11.821428571428571,10.5
2044,Chhattisgarh,2020-06-12,-54.25,30.857142857142858,-31.217391304347824,-35.32,-10.285714285714286,9.625
2045,Chhattisgarh,2020-06-13,-56.92,24.818181818181817,-34.166666666666664,-40.44,-18.25,10.166666666666666
2046,Chhattisgarh,2020-06-14,-57.916666666666664,16.608695652173914,-36.84,-39.48,-3.892857142857143,8.909090909090908
2047,Chhattisgarh,2020-06-15,-54.416666666666664,34.43478260869565,-31.91304347826087,-34.64,-13.464285714285714,9.583333333333334
2048,Chhattisgarh,2020-06-16,-55.708333333333336,24.636363636363637,-30.782608695652176,-37.12,-12.571428571428571,8.5
2049,Chhattisgarh,2020-06-17,-54.875,26.17391304347826,-34.541666666666664,-34.32,-13.071428571428571,9.708333333333334
2050,Chhattisgarh,2020-06-18,-52.75,28.954545454545453,-34.083333333333336,-33.84,-12.642857142857142,8.666666666666666
2051,Chhattisgarh,2020-06-19,-53.291666666666664,27.904761904761905,-32.708333333333336,-33.16,-11.285714285714286,8.791666666666666
2052,Chhattisgarh,2020-06-20,-56.92,16.136363636363637,-35.08695652173913,-40.88,-15.928571428571429,10.375
2053,Chhattisgarh,2020-06-21,-63.0,-3.8260869565217392,-41.333333333333336,-47.07692307692308,-6.107142857142857,13.681818181818182
2054,Chhattisgarh,2020-06-22,-57.666666666666664,15.695652173913043,-36.869565217391305,-39.88,-16.5,13.0
2055,Chhattisgarh,2020-06-23,-52.416666666666664,29.095238095238095,-31.52173913043478,-34.04,-14.464285714285714,8.958333333333334
2056,Chhattisgarh,2020-06-24,-50.291666666666664,37.54545454545455,-32.08695652173913,-29.84,-12.642857142857142,7.0
2057,Chhattisgarh,2020-06-25,-51.75,31.782608695652176,-33.34782608695652,-32.92,-14.892857142857142,8.041666666666666
2058,Chhattisgarh,2020-06-26,-53.25,26.047619047619047,-31.82608695652174,-34.96,-12.678571428571429,7.791666666666667
2059,Chhattisgarh,2020-06-27,-55.16,20.90909090909091,-35.125,-38.04,-13.535714285714286,8.083333333333334
2060,Chhattisgarh,2020-06-28,-56.041666666666664,15.304347826086957,-37.166666666666664,-39.92,-7.214285714285714,8.045454545454545
2061,Chhattisgarh,2020-06-29,-50.916666666666664,32.27272727272727,-32.391304347826086,-31.84,-14.607142857142858,7.25
2062,Chhattisgarh,2020-06-30,-49.125,26.19047619047619,-32.0,-33.48,-14.142857142857142,7.291666666666667
2063,Chhattisgarh,2020-07-01,-47.958333333333336,30.434782608695652,-32.08695652173913,-31.076923076923077,-12.428571428571429,6.75
2064,Chhattisgarh,2020-07-02,-48.583333333333336,29.227272727272727,-32.21739130434783,-33.28,-13.321428571428571,7.708333333333333
2065,Chhattisgarh,2020-07-03,-48.916666666666664,29.333333333333332,-31.652173913043477,-32.04,-11.142857142857142,8.041666666666666
2066,Chhattisgarh,2020-07-04,-51.6,22.545454545454547,-33.91304347826087,-37.28,-8.821428571428571,7.75
2067,Chhattisgarh,2020-07-05,-53.958333333333336,12.217391304347826,-37.208333333333336,-41.96,-6.178571428571429,8.5
2068,Chhattisgarh,2020-07-06,-49.791666666666664,30.863636363636363,-32.52173913043478,-33.92,-12.285714285714286,8.583333333333334
2069,Chhattisgarh,2020-07-07,-47.375,29.428571428571427,-30.91304347826087,-30.68,-11.892857142857142,6.916666666666667
2070,Chhattisgarh,2020-07-08,-47.416666666666664,32.27272727272727,-32.26086956521739,-29.96,-10.107142857142858,7.0
2071,Chhattisgarh,2020-07-09,-50.375,25.08695652173913,-32.65217391304348,-32.68,-11.785714285714286,8.541666666666666
2072,Chhattisgarh,2020-07-10,-48.375,31.142857142857142,-31.434782608695652,-30.36,-9.107142857142858,7.916666666666667
2073,Chhattisgarh,2020-07-11,-52.64,21.17391304347826,-33.869565217391305,-38.04,-16.535714285714285,9.875
2074,Chhattisgarh,2020-07-12,-53.541666666666664,14.478260869565217,-36.75,-40.24,-4.0,9.454545454545455
2075,Chhattisgarh,2020-07-13,-47.958333333333336,37.77272727272727,-31.391304347826086,-28.12,-10.25,7.958333333333333
2076,Chhattisgarh,2020-07-14,-52.333333333333336,15.863636363636363,-32.0,-35.96,-11.785714285714286,9.25
2077,Chhattisgarh,2020-07-15,-46.541666666666664,26.363636363636363,-31.73913043478261,-26.56,-8.928571428571429,8.375
2078,Chhattisgarh,2020-07-16,-46.75,29.47826086956522,-29.52173913043478,-28.2,-10.821428571428571,8.208333333333334
2079,Chhattisgarh,2020-07-17,-45.416666666666664,29.19047619047619,-28.82608695652174,-24.68,-7.178571428571429,8.083333333333334
2080,Chhattisgarh,2020-07-18,-49.12,23.52173913043478,-33.625,-31.88,-12.857142857142858,9.208333333333334
2081,Chhattisgarh,2020-07-19,-50.041666666666664,17.47826086956522,-33.26086956521739,-34.36,-1.3928571428571428,9.045454545454545
2082,Chhattisgarh,2020-07-20,-48.458333333333336,28.363636363636363,-26.956521739130434,-29.88,-22.642857142857142,10.625
2083,Chhattisgarh,2020-07-21,-46.833333333333336,28.714285714285715,-29.565217391304348,-27.72,-10.107142857142858,8.0
2084,Chhattisgarh,2020-07-22,-52.5,18.217391304347824,-32.91304347826087,-32.03846153846154,-12.5,11.25
2085,Chhattisgarh,2020-07-23,-62.625,-2.217391304347826,-35.34782608695652,-43.92,-19.892857142857142,15.583333333333334
2086,Chhattisgarh,2020-07-24,-61.75,0.38095238095238093,-31.73913043478261,-40.64,-17.107142857142858,14.25
2087,Chhattisgarh,2020-07-25,-65.44,-3.869565217391304,-34.04347826086956,-46.52,-18.857142857142858,15.791666666666666
2088,Chhattisgarh,2020-07-26,-64.75,-8.695652173913043,-37.333333333333336,-46.96,-9.214285714285714,14.545454545454545
2089,Chhattisgarh,2020-07-27,-62.666666666666664,2.869565217391304,-31.956521739130434,-45.44,-21.5,15.458333333333334
2090,Chhattisgarh,2020-07-28,-64.125,-6.7727272727272725,-33.78260869565217,-47.69230769230769,-22.107142857142858,15.833333333333334
2091,Chhattisgarh,2020-07-29,-61.666666666666664,4.956521739130435,-32.608695652173914,-43.84615384615385,-21.25,13.708333333333334
2092,Chhattisgarh,2020-07-30,-57.541666666666664,11.695652173913043,-29.47826086956522,-41.48,-21.0,13.083333333333334
2093,Chhattisgarh,2020-07-31,-57.791666666666664,8.545454545454545,-29.869565217391305,-40.76,-19.678571428571427,13.125
2094,Chhattisgarh,2020-08-01,-60.6,2.3181818181818183,-33.43478260869565,-45.96,-27.607142857142858,14.608695652173912
2095,Chhattisgarh,2020-08-02,-55.958333333333336,13.318181818181818,-35.583333333333336,-37.30769230769231,-8.428571428571429,11.090909090909092
2096,Chhattisgarh,2020-08-03,-59.166666666666664,6.695652173913044,-23.217391304347824,-46.88,-43.285714285714285,12.590909090909092
2097,Chhattisgarh,2020-08-04,-59.5,1.4285714285714286,-26.782608695652176,-45.6,-24.75,10.75
2098,Chhattisgarh,2020-08-05,-53.291666666666664,-10.73913043478261,-40.0,-46.08,-20.571428571428573,12.708333333333334
2099,Chhattisgarh,2020-08-06,-52.375,-8.695652173913043,-39.17391304347826,-45.44,-19.035714285714285,12.5
2100,Chhattisgarh,2020-08-07,-37.0,14.454545454545455,-32.65217391304348,-28.76,-5.214285714285714,6.208333333333333
2101,Chhattisgarh,2020-08-08,-40.875,7.6521739130434785,-34.391304347826086,-34.76,-11.821428571428571,8.041666666666666
2102,Chhattisgarh,2020-08-09,-47.625,-8.391304347826088,-39.16,-40.2,2.0357142857142856,8.521739130434783
2103,Chhattisgarh,2020-08-10,-34.458333333333336,23.09090909090909,-31.608695652173914,-27.28,-6.071428571428571,6.666666666666667
2104,Chhattisgarh,2020-08-11,-36.166666666666664,14.571428571428571,-33.625,-32.36,-6.892857142857143,6.791666666666667
2105,Chhattisgarh,2020-08-12,-36.416666666666664,16.08695652173913,-32.47826086956522,-31.423076923076923,-18.857142857142858,9.666666666666666
2106,Chhattisgarh,2020-08-13,-36.166666666666664,16.652173913043477,-33.21739130434783,-29.68,-7.321428571428571,7.0
2107,Chhattisgarh,2020-08-14,-33.25,21.047619047619047,-31.958333333333332,-25.84,-3.7857142857142856,5.958333333333333
2108,Chhattisgarh,2020-08-15,-42.166666666666664,3.869565217391304,-32.708333333333336,-40.08,-19.178571428571427,9.166666666666666
2109,Chhattisgarh,2020-08-16,-47.5,-7.608695652173913,-40.08,-43.07692307692308,-2.142857142857143,9.818181818181818
2110,Chhattisgarh,2020-08-17,-40.45454545454545,8.5,-56.125,-33.125,-6.904761904761905,7.291666666666667
2111,Chhattisgarh,2020-08-18,-41.54545454545455,-0.6,-55.142857142857146,-37.4,-10.19047619047619,6.208333333333333
2112,Chhattisgarh,2020-08-19,-40.90909090909091,-2.5,-55.625,-31.733333333333334,-7.45,6.416666666666667
2113,Chhattisgarh,2020-08-20,-42.18181818181818,-0.16666666666666666,-51.44444444444444,-36.13333333333333,-10.476190476190476,7.5
2114,Chhattisgarh,2020-08-21,-41.54545454545455,5.8,-50.77777777777778,-34.93333333333333,-16.38095238095238,9.375
2115,Chhattisgarh,2020-08-22,-44.72727272727273,-11.714285714285714,-52.44444444444444,-40.25,-14.238095238095237,8.125
2116,Chhattisgarh,2020-08-23,-50.75,-33.142857142857146,-51.0,-42.3125,-3.2666666666666666,7.181818181818182
2117,Chhattisgarh,2020-08-24,-38.0,8.4,-53.75,-33.733333333333334,-6.476190476190476,5.916666666666667
2118,Chhattisgarh,2020-08-25,-42.0,0.4,-56.142857142857146,-38.733333333333334,-8.952380952380953,6.458333333333333
2119,Chhattisgarh,2020-08-26,-47.81818181818182,-13.4,-53.333333333333336,-41.8,-8.45,10.041666666666666
2120,Chhattisgarh,2020-08-27,-55.54545454545455,-33.166666666666664,-56.888888888888886,-49.0625,-14.80952380952381,13.416666666666666
2121,Chhattisgarh,2020-08-28,-49.90909090909091,-18.8,-49.888888888888886,-43.13333333333333,-13.0,9.5
2122,Chhattisgarh,2020-08-29,-42.36363636363637,-10.571428571428571,-48.55555555555556,-36.93333333333333,-5.380952380952381,6.708333333333333
2123,Chhattisgarh,2020-08-30,-49.083333333333336,-29.285714285714285,-46.18181818181818,-38.6875,0.13333333333333333,7.5
2124,Chhattisgarh,2020-08-31,-36.27272727272727,9.8,-49.25,-31.466666666666665,-6.0476190476190474,6.583333333333333
2125,Chhattisgarh,2020-09-01,-37.09090909090909,8.0,-49.857142857142854,-33.333333333333336,-8.952380952380953,6.5
2126,Chhattisgarh,2020-09-02,-39.09090909090909,0.4,-53.25,-33.4,-8.55,8.125
2127,Chhattisgarh,2020-09-03,-38.63636363636363,2.0,-47.55555555555556,-34.266666666666666,-9.761904761904763,8.375
2128,Chhattisgarh,2020-09-04,-37.72727272727273,5.6,-47.0,-31.066666666666666,-7.285714285714286,9.125
2129,Chhattisgarh,2020-09-05,-41.81818181818182,-6.333333333333333,-50.111111111111114,-36.666666666666664,-6.142857142857143,8.791666666666666
2130,Chhattisgarh,2020-09-06,-49.083333333333336,-28.0,-47.36363636363637,-39.5,-5.866666666666666,9.80952380952381
2131,Chhattisgarh,2020-09-07,-37.90909090909091,11.0,-50.875,-32.46666666666667,-9.285714285714286,8.625
2132,Chhattisgarh,2020-09-08,-39.90909090909091,7.5,-50.42857142857143,-35.266666666666666,-11.047619047619047,8.041666666666666
2133,Chhattisgarh,2020-09-09,-41.09090909090909,0.2,-47.888888888888886,-34.2,-8.6,9.333333333333334
2134,Chhattisgarh,2020-09-10,-42.0,-1.8,-49.0,-36.8,-13.714285714285714,10.041666666666666
2135,Chhattisgarh,2020-09-11,-30.291666666666668,3.9,-30.708333333333332,-32.48,-13.678571428571429,9.5
2136,Chhattisgarh,2020-09-12,-32.0,2.65,-33.291666666666664,-37.08,-21.607142857142858,10.409090909090908
2137,Chhattisgarh,2020-09-13,-36.708333333333336,-11.409090909090908,-35.083333333333336,-38.24,-9.142857142857142,9.761904761904763
2138,Chhattisgarh,2020-09-14,-27.625,7.045454545454546,-31.041666666666668,-29.36,-12.142857142857142,10.217391304347826
2139,Chhattisgarh,2020-09-15,-28.25,2.35,-31.291666666666668,-30.32,-12.928571428571429,10.833333333333334
2140,Chhattisgarh,2020-09-16,-27.875,4.136363636363637,-32.875,-29.32,-11.642857142857142,11.458333333333334
2141,Chhattisgarh,2020-09-17,-26.833333333333332,-4.454545454545454,-32.708333333333336,-35.4,-18.071428571428573,13.391304347826088
2142,Chhattisgarh,2020-09-18,-24.958333333333332,1.6363636363636365,-30.52173913043478,-30.24,-12.25,13.375
2143,Chhattisgarh,2020-09-19,-26.041666666666668,-0.8636363636363636,-32.75,-33.76,-16.392857142857142,13.238095238095237
2144,Chhattisgarh,2020-09-20,-26.875,-0.7391304347826086,-35.6,-32.88,-1.9285714285714286,12.285714285714286
2145,Chhattisgarh,2020-09-21,-26.458333333333332,3.95,-34.0,-29.76923076923077,-16.535714285714285,15.0
2146,Chhattisgarh,2020-09-22,-36.083333333333336,-10.363636363636363,-32.916666666666664,-37.03846153846154,-23.428571428571427,17.90909090909091
2147,Chhattisgarh,2020-09-23,-49.875,-24.90909090909091,-38.6,-48.57692307692308,-30.25,23.36
2148,Chhattisgarh,2020-09-24,-56.75,-38.31818181818182,-38.541666666666664,-55.61538461538461,-36.107142857142854,27.666666666666668
2149,Chhattisgarh,2020-09-25,-58.125,-40.68181818181818,-41.12,-55.84615384615385,-36.42857142857143,28.541666666666668
2150,Chhattisgarh,2020-09-26,-59.76,-44.31818181818182,-40.68,-58.24,-35.214285714285715,27.166666666666668
2151,Chhattisgarh,2020-09-27,-58.958333333333336,-45.27272727272727,-40.61538461538461,-56.88,-25.392857142857142,24.791666666666668
2152,Chhattisgarh,2020-09-28,-54.958333333333336,-36.38095238095238,-39.2,-52.96153846153846,-35.07142857142857,26.583333333333332
2153,Chhattisgarh,2020-09-29,-47.041666666666664,-19.789473684210527,-36.04,-47.12,-29.75,21.666666666666668
2154,Chhattisgarh,2020-09-30,-44.25,-15.545454545454545,-40.12,-39.04,-30.357142857142858,15.52
2155,Chhattisgarh,2020-10-01,-35.25,4.782608695652174,-44.52,-28.84,-28.0,7.615384615384615
2156,Chhattisgarh,2020-10-02,-33.375,7.363636363636363,-44.130434782608695,-27.6,-39.464285714285715,9.88
2157,Chhattisgarh,2020-10-03,-35.291666666666664,-0.2727272727272727,-45.0,-31.56,-24.321428571428573,7.32
2158,Chhattisgarh,2020-10-04,-38.458333333333336,-5.954545454545454,-45.44,-33.64,-22.535714285714285,7.041666666666667
2159,Chhattisgarh,2020-10-05,-28.958333333333332,7.363636363636363,-45.04,-24.32,-26.214285714285715,5.269230769230769
2160,Chhattisgarh,2020-10-06,-31.875,1.4285714285714286,-46.083333333333336,-27.04,-27.428571428571427,5.8
2161,Chhattisgarh,2020-10-07,-29.458333333333332,4.869565217391305,-41.708333333333336,-24.88,-21.5,6.384615384615385
2162,Chhattisgarh,2020-10-08,-28.5,7.043478260869565,-40.92,-25.84,-19.607142857142858,9.076923076923077
2163,Chhattisgarh,2020-10-09,-27.416666666666668,8.0,-40.166666666666664,-24.96,-16.892857142857142,11.04
2164,Chhattisgarh,2020-10-10,-32.208333333333336,-0.045454545454545456,-42.28,-32.56,-25.678571428571427,12.791666666666666
2165,Chhattisgarh,2020-10-11,-31.333333333333332,-0.043478260869565216,-39.68,-29.56,-12.571428571428571,11.0
2166,Chhattisgarh,2020-10-12,-23.0,12.695652173913043,-37.56,-22.68,-17.75,10.8
2167,Chhattisgarh,2020-10-13,-25.458333333333332,8.238095238095237,-39.44,-23.16,-19.357142857142858,10.16
2168,Chhattisgarh,2020-10-14,-20.583333333333332,16.347826086956523,-34.791666666666664,-19.68,-15.392857142857142,10.076923076923077
2169,Chhattisgarh,2020-10-15,-21.291666666666668,16.545454545454547,-37.88,-18.36,-16.107142857142858,11.384615384615385
2170,Chhattisgarh,2020-10-16,-18.833333333333332,23.61904761904762,-36.833333333333336,-13.56,-14.0,11.846153846153847
2171,Chhattisgarh,2020-10-17,-28.041666666666668,11.521739130434783,-40.68,-25.0,-20.0,14.2
2172,Chhattisgarh,2020-10-18,-28.958333333333332,4.043478260869565,-38.96,-23.56,-8.607142857142858,13.666666666666666
2173,Chhattisgarh,2020-10-19,-20.458333333333332,18.82608695652174,-37.68,-17.2,-15.178571428571429,13.32
2174,Chhattisgarh,2020-10-20,-22.958333333333332,14.0,-36.88,-18.92,-16.678571428571427,12.08
2175,Chhattisgarh,2020-10-21,-19.166666666666668,17.347826086956523,-37.0,-15.68,-16.035714285714285,9.5
2176,Chhattisgarh,2020-10-22,-19.083333333333332,18.304347826086957,-37.48,-16.0,-19.071428571428573,5.62962962962963
